Pclass,Sex,Age,Fare,Embarked,Title,FamilySize,IsAlone,Age_group,Fare_bin,Title_Pclass,Sex_Pclass,IsAlone_AgeGroup,Survived
3,male,22.0,7.25,S,Mr,2,False,YoungAdult,0,Mr_3,male_3,False_YoungAdult,0
1,female,38.0,71.2833,C,Mrs,2,False,Adult,3,Mrs_1,female_1,False_Adult,1
3,female,26.0,7.925,S,Miss,1,True,YoungAdult,1,Miss_3,female_3,True_YoungAdult,1
1,female,35.0,53.1,S,Mrs,2,False,Adult,3,Mrs_1,female_1,False_Adult,1
3,male,35.0,8.05,S,Mr,1,True,Adult,1,Mr_3,male_3,True_Adult,0
3,male,26.2,8.4583,Q,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
1,male,54.0,51.8625,S,Mr,1,True,Senior,3,Mr_1,male_1,True_Senior,0
3,male,2.0,21.075,S,Master,5,False,Child,2,Master_3,male_3,False_Child,0
3,female,27.0,11.1333,S,Mrs,3,False,YoungAdult,1,Mrs_3,female_3,False_YoungAdult,1
2,female,14.0,30.0708,C,Mrs,2,False,Teen,2,Mrs_2,female_2,False_Teen,1
3,female,4.0,16.7,S,Miss,3,False,Child,2,Miss_3,female_3,False_Child,1
1,female,58.0,26.55,S,Miss,1,True,Senior,2,Miss_1,female_1,True_Senior,1
3,male,20.0,8.05,S,Mr,1,True,YoungAdult,1,Mr_3,male_3,True_YoungAdult,0
3,male,39.0,31.275,S,Mr,7,False,Adult,3,Mr_3,male_3,False_Adult,0
3,female,14.0,7.8542,S,Miss,1,True,Teen,0,Miss_3,female_3,True_Teen,0
2,female,55.0,16.0,S,Mrs,1,True,Senior,2,Mrs_2,female_2,True_Senior,1
3,male,2.0,29.125,Q,Master,6,False,Child,2,Master_3,male_3,False_Child,0
2,male,39.4,13.0,S,Mr,1,True,Adult,1,Mr_2,male_2,True_Adult,1
3,female,31.0,18.0,S,Mrs,2,False,Adult,2,Mrs_3,female_3,False_Adult,0
3,female,18.2,7.225,C,Mrs,1,True,YoungAdult,0,Mrs_3,female_3,True_YoungAdult,1
2,male,35.0,26.0,S,Mr,1,True,Adult,2,Mr_2,male_2,True_Adult,0
2,male,34.0,13.0,S,Mr,1,True,Adult,1,Mr_2,male_2,True_Adult,1
3,female,15.0,8.0292,Q,Miss,1,True,Teen,1,Miss_3,female_3,True_Teen,1
1,male,28.0,35.5,S,Mr,1,True,YoungAdult,3,Mr_1,male_1,True_YoungAdult,1
3,female,8.0,21.075,S,Miss,5,False,Child,2,Miss_3,female_3,False_Child,0
3,female,38.0,31.3875,S,Mrs,7,False,Adult,3,Mrs_3,female_3,False_Adult,1
3,male,32.5,7.225,C,Mr,1,True,Adult,0,Mr_3,male_3,True_Adult,0
1,male,19.0,263.0,S,Mr,6,False,YoungAdult,3,Mr_1,male_1,False_YoungAdult,0
3,female,23.6,7.8792,Q,Miss,1,True,YoungAdult,0,Miss_3,female_3,True_YoungAdult,1
3,male,27.8,7.8958,S,Mr,1,True,YoungAdult,0,Mr_3,male_3,True_YoungAdult,0
1,male,40.0,27.7208,C,Don,1,True,Adult,2,Don_1,male_1,True_Adult,0
1,female,21.584,146.5208,C,Mrs,2,False,YoungAdult,3,Mrs_1,female_1,False_YoungAdult,1
